USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root      1730  0.0  0.0  39300  2572 ?        Ss    2019   0:56 /usr/sbin/cron -f
root      1750  0.0  0.0  19568  1896 ?        Ss    2019  12:01 /usr/sbin/irqbalance --pid=/var/run/irqbalance.pid
root      1878  0.0  0.0  59980  2844 ?        Ss    2019   1:07 /usr/lib/postfix/sbin/master
postfix   1888  0.0  0.0  61784  2724 ?        S     2019   0:29 qmgr -l -t unix -u
root      1990  0.0  0.0   7696   388 tty1     Ss+   2019   0:00 /sbin/agetty --noclear tty1 linux
root      2879  0.0  0.0      0     0 ?        S<   May21   0:00 [kworker/5:0H]
fmarsh    3917  0.0  0.0  45840  5412 pts/3    S+   May01   0:00 vim Board.cpp
root      4840  0.0  0.0      0     0 ?        S    Jul01   0:02 [kworker/7:0]
lrose     4995  0.0  0.0  37172  4264 ?        Ss   May04   0:01 /lib/systemd/systemd --user
lrose     4999  0.0  0.0  70584   220 ?        S    May04   0:00 (sd-pam)
wslauson  5257  0.0  0.0  37176  2728 ?        Ss   Apr04   0:04 /lib/systemd/systemd --user
wslauson  5262  0.0  0.0  70448    72 ?        S    Apr04   0:00 (sd-pam)
wslauson  5577  0.0  0.0  25544  7308 ?        Ss   Apr04   8:08 tmux
wslauson  5578  0.0  0.0  16432  6820 pts/2    Ss+  Apr04   0:03 -bash
wslauson  5591  0.0  0.0  15748  6156 pts/8    Ss   Apr04   0:02 -bash
root      5661  0.0  0.0  31892  2780 ?        Ss   May14   0:00 SCREEN -S shared
cbell     5662  0.0  0.0  14532  5136 pts/14   Ss+  May14   0:00 /bin/bash
root      6418  0.0  0.0      0     0 ?        S<   Jan08   0:00 [xfsalloc]
root      6419  0.0  0.0      0     0 ?        S<   Jan08   0:00 [xfs_mru_cache]
root      6429  0.0  0.0      0     0 ?        S    Jan08   0:00 [jfsIO]
root      6430  0.0  0.0      0     0 ?        S    Jan08   0:00 [jfsCommit]
root      6431  0.0  0.0      0     0 ?        S    Jan08   0:00 [jfsCommit]
root      6432  0.0  0.0      0     0 ?        S    Jan08   0:00 [jfsCommit]
root      6433  0.0  0.0      0     0 ?        S    Jan08   0:00 [jfsCommit]
root      6434  0.0  0.0      0     0 ?        S    Jan08   0:00 [jfsCommit]
root      6435  0.0  0.0      0     0 ?        S    Jan08   0:00 [jfsCommit]
root      6436  0.0  0.0      0     0 ?        S    Jan08   0:00 [jfsCommit]
root      6437  0.0  0.0      0     0 ?        S    Jan08   0:00 [jfsCommit]
root      6438  0.0  0.0      0     0 ?        S    Jan08   0:00 [jfsSync]
wslauson  6867  0.0  0.0  46072  8788 pts/8    S+   May26   0:15 vim SlausonPlayerV2.cpp
root      7052  0.0  0.0      0     0 ?        S<   Jul01   0:00 [kworker/7:1H]
mbouch    7053  0.0  0.0  37092  4892 ?        Ss   Jul01   0:00 /lib/systemd/systemd --user
mbouch    7059  0.0  0.0  70540  2084 ?        S    Jul01   0:00 (sd-pam)
root      7157  0.0  0.0      0     0 ?        S    Jul01   0:00 [kworker/7:2]
root      8145  0.0  0.0      0     0 ?        S<   May26   0:00 [kworker/3:0H]
root      8171  0.0  0.0      0     0 ?        S<   Jul01   0:00 [kworker/2:1H]
root      8654  0.0  0.0      0     0 ?        S    Jul01   0:02 [kworker/2:1]
root      9310  0.0  0.0      0     0 ?        S    Jul01   0:01 [kworker/3:1]
root      9721  0.0  0.0  32028  2956 ?        Ss   Jul01   0:00 SCREEN -S shared
mbouch    9722  0.0  0.0  14648  5364 pts/6    Ss+  Jul01   0:00 /bin/bash
root     11225  0.0  0.0      0     0 ?        S<   Jun16   0:00 [kworker/3:1H]
